supplier_id,product_id,supplier_price,lead_time_days
16,189,22696.8,2
26,190,11250.67,7
3,191,24988.76,2
17,191,23883.84,9
17,192,10199.79,7
20,192,11108.41,8
11,193,14056.62,2
21,194,4195.71,3
11,194,4440.62,8
24,195,33367.56,4
19,196,31384.64,7
21,197,10555.63,8
23,198,96.36,6
21,199,15198.58,4
27,200,23497.11,10
22,201,15001.45,7
10,202,15604.6,5
25,203,27138.15,5
5,204,2896.72,3
3,204,2967.61,10
29,205,20499.81,7
17,205,22546.15,4
5,206,26878.09,4
2,207,22753.51,5
20,208,7053.05,9
10,208,6651.98,5
26,209,8684.1,5
19,210,30594.5,9
25,211,14193.13,8
13,211,14934.85,5
5,212,6509.02,9
28,212,6980.65,10
23,213,16940.41,3
28,213,16500.0,4
29,214,22448.58,8
30,215,24841.83,9
30,216,3671.39,8
1,216,3707.82,5
3,217,5980.8,2
4,218,18390.71,7
5,219,8356.57,9
2,219,8751.86,4
16,220,15822.42,3
15,220,14771.57,5
18,221,23087.17,8
24,221,21806.56,6
4,222,19312.97,8
20,223,30281.15,3
16,224,24667.05,10
20,224,24775.13,4
1,225,28723.69,5
6,226,31193.18,3
12,227,15447.18,10
26,228,8963.83,10
28,229,26063.54,8
9,230,20248.02,3
24,230,21041.91,3
24,231,2664.76,2
25,231,2670.82,7
6,232,9622.88,9
27,232,9835.15,9
26,233,17707.73,9
7,234,7542.5,5
11,235,23612.43,8
30,235,25460.99,10
2,236,14354.33,5
28,237,14684.86,7
26,238,14168.47,8
29,239,20992.31,7
16,240,29238.98,10
23,240,28477.41,3
