expense_id,store_id,category,amount,description,expense_date
42,2,Transport,13975.59,Transport expense for store 2,2026-05-18
43,3,Rent,121594.16,Rent expense for store 3,2026-05-19
44,3,Electricity,34556.55,Electricity expense for store 3,2026-05-16
45,3,Salary,397300.34,Salary expense for store 3,2026-05-18
46,3,Maintenance,16774.39,Maintenance expense for store 3,2026-05-20
47,3,Marketing,24940.79,Marketing expense for store 3,2026-05-06
48,3,Transport,13266.45,Transport expense for store 3,2026-05-14
49,4,Rent,115432.4,Rent expense for store 4,2026-05-24
50,4,Electricity,30347.05,Electricity expense for store 4,2026-05-07
51,4,Salary,331626.4,Salary expense for store 4,2026-05-15
52,4,Maintenance,13467.83,Maintenance expense for store 4,2026-05-15
53,4,Marketing,28974.33,Marketing expense for store 4,2026-05-07
54,4,Transport,16822.38,Transport expense for store 4,2026-05-03
55,5,Rent,96165.2,Rent expense for store 5,2026-05-21
56,5,Electricity,29335.4,Electricity expense for store 5,2026-05-17
57,5,Salary,368154.39,Salary expense for store 5,2026-05-10
58,5,Maintenance,14122.69,Maintenance expense for store 5,2026-05-07
59,5,Marketing,20071.7,Marketing expense for store 5,2026-05-04
60,5,Transport,13468.73,Transport expense for store 5,2026-05-06
61,1,Rent,102420.68,Rent expense for store 1,2026-06-23
62,1,Electricity,34678.49,Electricity expense for store 1,2026-06-22
63,1,Salary,363780.83,Salary expense for store 1,2026-06-11
64,1,Maintenance,14698.57,Maintenance expense for store 1,2026-06-08
65,1,Marketing,25614.16,Marketing expense for store 1,2026-06-08
66,1,Transport,19050.39,Transport expense for store 1,2026-06-22
67,2,Rent,96594.56,Rent expense for store 2,2026-06-10
68,2,Electricity,24868.41,Electricity expense for store 2,2026-06-15
69,2,Salary,384394.87,Salary expense for store 2,2026-06-22
70,2,Maintenance,12933.44,Maintenance expense for store 2,2026-06-23
71,2,Marketing,20090.76,Marketing expense for store 2,2026-06-02
72,2,Transport,14430.23,Transport expense for store 2,2026-06-13
73,3,Rent,104027.46,Rent expense for store 3,2026-06-18
74,3,Electricity,27278.89,Electricity expense for store 3,2026-06-13
75,3,Salary,394707.12,Salary expense for store 3,2026-06-13
76,3,Maintenance,12863.77,Maintenance expense for store 3,2026-06-15
77,3,Marketing,21029.98,Marketing expense for store 3,2026-06-03
78,3,Transport,13667.72,Transport expense for store 3,2026-06-10
79,4,Rent,90085.51,Rent expense for store 4,2026-06-08
80,4,Electricity,33781.07,Electricity expense for store 4,2026-06-06
81,4,Salary,335525.04,Salary expense for store 4,2026-06-08
82,4,Maintenance,14673.43,Maintenance expense for store 4,2026-06-08
83,4,Marketing,28944.29,Marketing expense for store 4,2026-06-15
84,4,Transport,16219.28,Transport expense for store 4,2026-06-02
85,5,Rent,98915.42,Rent expense for store 5,2026-06-15
86,5,Electricity,34694.61,Electricity expense for store 5,2026-06-06
87,5,Salary,313787.98,Salary expense for store 5,2026-06-12
88,5,Maintenance,14229.24,Maintenance expense for store 5,2026-06-25
89,5,Marketing,28334.05,Marketing expense for store 5,2026-06-09
90,5,Transport,16799.84,Transport expense for store 5,2026-06-22
91,1,Rent,96118.73,Rent expense for store 1,2026-07-17
92,1,Electricity,28560.26,Electricity expense for store 1,2026-07-23
93,1,Salary,325888.64,Salary expense for store 1,2026-07-04
94,1,Maintenance,15640.78,Maintenance expense for store 1,2026-07-07
95,1,Marketing,84424.0,Marketing expense for store 1,2026-07-10
96,1,Transport,14745.85,Transport expense for store 1,2026-07-22
97,2,Rent,106930.17,Rent expense for store 2,2026-07-23
98,2,Electricity,30750.45,Electricity expense for store 2,2026-07-04
99,2,Salary,385690.73,Salary expense for store 2,2026-07-08
100,2,Maintenance,12939.57,Maintenance expense for store 2,2026-07-14
101,2,Marketing,28984.12,Marketing expense for store 2,2026-07-07
102,2,Transport,16847.59,Transport expense for store 2,2026-07-11
103,3,Rent,107248.71,Rent expense for store 3,2026-07-17
104,3,Electricity,28212.61,Electricity expense for store 3,2026-07-03
105,3,Salary,318145.68,Salary expense for store 3,2026-07-05
106,3,Maintenance,17550.82,Maintenance expense for store 3,2026-07-16
107,3,Marketing,27800.68,Marketing expense for store 3,2026-07-09
108,3,Transport,17557.67,Transport expense for store 3,2026-07-11
109,4,Rent,104281.25,Rent expense for store 4,2026-07-07
110,4,Electricity,25241.35,Electricity expense for store 4,2026-07-24
111,4,Salary,415460.43,Salary expense for store 4,2026-07-17
112,4,Maintenance,17770.63,Maintenance expense for store 4,2026-07-08
113,4,Marketing,29568.81,Marketing expense for store 4,2026-07-23
114,4,Transport,18705.92,Transport expense for store 4,2026-07-13
115,5,Rent,91242.52,Rent expense for store 5,2026-07-03
116,5,Electricity,26332.72,Electricity expense for store 5,2026-07-23
117,5,Salary,351298.87,Salary expense for store 5,2026-07-23
118,5,Maintenance,16544.41,Maintenance expense for store 5,2026-07-21
119,5,Marketing,25440.73,Marketing expense for store 5,2026-07-09
120,5,Transport,15092.14,Transport expense for store 5,2026-07-15
121,1,Rent,116995.99,Rent expense for store 1,2026-08-11
122,1,Electricity,24298.85,Electricity expense for store 1,2026-08-06
123,1,Salary,368155.05,Salary expense for store 1,2026-08-15
124,1,Maintenance,16956.51,Maintenance expense for store 1,2026-08-22
125,1,Marketing,27744.74,Marketing expense for store 1,2026-08-20
126,1,Transport,16787.79,Transport expense for store 1,2026-08-25
127,2,Rent,125044.52,Rent expense for store 2,2026-08-01
128,2,Electricity,33338.77,Electricity expense for store 2,2026-08-02
129,2,Salary,290777.95,Salary expense for store 2,2026-08-03
130,2,Maintenance,53266.92,Maintenance expense for store 2,2026-08-19
131,2,Marketing,23346.5,Marketing expense for store 2,2026-08-01
132,2,Transport,15116.82,Transport expense for store 2,2026-08-18
133,3,Rent,102764.1,Rent expense for store 3,2026-08-18
134,3,Electricity,35168.44,Electricity expense for store 3,2026-08-08
135,3,Salary,381060.38,Salary expense for store 3,2026-08-02
136,3,Maintenance,15208.93,Maintenance expense for store 3,2026-08-04
137,3,Marketing,20116.59,Marketing expense for store 3,2026-08-19
138,3,Transport,13248.7,Transport expense for store 3,2026-08-02
139,4,Rent,110263.85,Rent expense for store 4,2026-08-16
140,4,Electricity,35801.16,Electricity expense for store 4,2026-08-16
141,4,Salary,362275.28,Salary expense for store 4,2026-08-18
142,4,Maintenance,17572.14,Maintenance expense for store 4,2026-08-18
143,4,Marketing,29958.38,Marketing expense for store 4,2026-08-10
144,4,Transport,14953.74,Transport expense for store 4,2026-08-08
145,5,Rent,100093.86,Rent expense for store 5,2026-08-21
146,5,Electricity,31650.42,Electricity expense for store 5,2026-08-08
147,5,Salary,342302.34,Salary expense for store 5,2026-08-24
148,5,Maintenance,17783.55,Maintenance expense for store 5,2026-08-08
149,5,Marketing,20608.04,Marketing expense for store 5,2026-08-19
150,5,Transport,14144.99,Transport expense for store 5,2026-08-02
151,1,Rent,106438.09,Rent expense for store 1,2026-09-08
152,1,Electricity,30694.15,Electricity expense for store 1,2026-09-21
153,1,Salary,294596.24,Salary expense for store 1,2026-09-02
154,1,Maintenance,12926.89,Maintenance expense for store 1,2026-09-05
155,1,Marketing,24506.76,Marketing expense for store 1,2026-09-09
156,1,Transport,17063.77,Transport expense for store 1,2026-09-23
157,2,Rent,123287.39,Rent expense for store 2,2026-09-16
158,2,Electricity,30642.32,Electricity expense for store 2,2026-09-22
159,2,Salary,305569.41,Salary expense for store 2,2026-09-15
160,2,Maintenance,14649.43,Maintenance expense for store 2,2026-09-03
161,2,Marketing,28415.08,Marketing expense for store 2,2026-09-25
162,2,Transport,15076.69,Transport expense for store 2,2026-09-01
163,3,Rent,124934.32,Rent expense for store 3,2026-09-03
164,3,Electricity,32450.76,Electricity expense for store 3,2026-09-18
165,3,Salary,388577.84,Salary expense for store 3,2026-09-06
166,3,Maintenance,14124.81,Maintenance expense for store 3,2026-09-11
167,3,Marketing,20906.06,Marketing expense for store 3,2026-09-03
168,3,Transport,14109.88,Transport expense for store 3,2026-09-22
169,4,Rent,112015.35,Rent expense for store 4,2026-09-02
170,4,Electricity,30092.71,Electricity expense for store 4,2026-09-08
171,4,Salary,367050.39,Salary expense for store 4,2026-09-07
172,4,Maintenance,13288.1,Maintenance expense for store 4,2026-09-10
173,4,Marketing,24319.88,Marketing expense for store 4,2026-09-06
174,4,Transport,15416.92,Transport expense for store 4,2026-09-09
175,5,Rent,94239.04,Rent expense for store 5,2026-09-01
176,5,Electricity,33758.36,Electricity expense for store 5,2026-09-25
177,5,Salary,377524.6,Salary expense for store 5,2026-09-16
178,5,Maintenance,13674.4,Maintenance expense for store 5,2026-09-06
179,5,Marketing,23623.02,Marketing expense for store 5,2026-09-04
180,5,Transport,14601.93,Transport expense for store 5,2026-09-09
