return_id,sale_id,customer_id,store_id,return_date,reason,status,total_refund
78,4713,283,5,2026-05-04,Damaged,approved,37323.74
79,503,980,5,2026-08-01,Customer changed mind,approved,9324.52
80,3797,567,4,2026-07-16,Defective,approved,68326.79
81,4797,2,1,2026-06-18,Customer changed mind,approved,7713.07
82,1328,496,2,2026-05-12,Wrong product,approved,30582.98
83,4124,440,5,2026-05-05,Defective,approved,15621.98
84,2396,715,4,2026-09-24,Defective,approved,59914.43
85,3417,433,4,2026-06-22,Wrong product,approved,16816.73
86,1163,8,4,2026-06-23,Wrong product,approved,14461.33
87,1343,491,4,2026-09-23,Wrong product,approved,15836.88
88,1386,807,2,2026-09-03,Size issue,approved,8373.41
89,1142,70,2,2026-08-16,Damaged,approved,99788.53
90,2767,985,1,2026-07-25,Damaged,approved,21997.79
91,2281,487,5,2026-09-18,Customer changed mind,approved,20401.59
92,2550,485,5,2026-09-08,Wrong product,approved,110500.86
93,3173,101,4,2026-09-18,Size issue,approved,19074.36
94,2084,834,3,2026-06-12,Wrong product,approved,32448.82
95,3405,852,1,2026-06-25,Size issue,approved,2884.89
96,1654,111,1,2026-05-25,Damaged,approved,16651.27
97,1147,871,2,2026-08-20,Wrong product,approved,20388.85
98,3207,920,3,2026-07-09,Customer changed mind,approved,27731.62
99,3476,816,4,2026-05-03,Customer changed mind,approved,32828.78
100,4769,687,3,2026-05-24,Wrong product,approved,12970.62
101,868,402,5,2026-08-16,Damaged,approved,72915.6
102,4076,379,3,2026-08-03,Size issue,approved,12834.74
103,3272,854,1,2026-09-15,Wrong product,approved,16544.9
104,4798,719,2,2026-05-19,Size issue,approved,32649.97
105,3325,175,1,2026-06-25,Customer changed mind,approved,40812.06
106,1666,265,5,2026-07-07,Defective,approved,19886.42
107,1660,912,3,2026-05-04,Customer changed mind,approved,28038.99
108,30,531,5,2026-08-24,Damaged,approved,20579.3
109,1537,498,1,2026-06-22,Defective,approved,20343.82
110,2434,398,1,2026-07-19,Customer changed mind,approved,16331.81
111,778,558,4,2026-05-16,Size issue,approved,6786.72
112,2656,988,4,2026-06-02,Damaged,approved,39679.99
113,4731,670,4,2026-05-04,Customer changed mind,approved,41453.66
114,2186,352,1,2026-08-06,Size issue,approved,70635.53
115,2284,352,4,2026-05-25,Damaged,approved,39387.22
116,4972,730,1,2026-06-03,Damaged,approved,96716.44
117,3656,966,3,2026-08-25,Size issue,approved,4575.77
118,3873,266,2,2026-09-23,Customer changed mind,approved,26169.99
119,4961,413,1,2026-07-08,Customer changed mind,approved,103.13
120,2178,415,2,2026-05-10,Defective,approved,7766.99
121,4513,594,2,2026-06-21,Size issue,approved,31007.96
122,2634,515,3,2026-09-11,Defective,approved,15920.13
123,3824,931,5,2026-05-02,Wrong product,approved,14628.84
124,3399,826,3,2026-07-06,Customer changed mind,approved,16899.19
125,4201,662,4,2026-08-12,Customer changed mind,approved,6512.81
126,3145,974,4,2026-05-04,Defective,approved,55785.74
127,3275,710,5,2026-08-16,Defective,approved,28928.94
128,4827,318,1,2026-09-25,Damaged,approved,4516.72
129,2425,6,4,2026-07-05,Size issue,approved,13270.98
130,4310,338,3,2026-06-23,Defective,approved,6850.96
131,3067,285,5,2026-06-02,Defective,approved,10360.76
132,3603,541,2,2026-09-05,Customer changed mind,approved,17229.98
133,2592,231,4,2026-08-23,Wrong product,approved,40129.52
134,4732,870,1,2026-07-05,Customer changed mind,approved,73207.56
135,2112,719,3,2026-09-20,Wrong product,approved,9779.82
136,166,427,1,2026-05-20,Wrong product,approved,8616.92
137,4280,416,1,2026-08-14,Defective,approved,4655.05
138,4254,101,5,2026-09-07,Wrong product,approved,24341.87
139,458,911,3,2026-08-10,Wrong product,approved,44514.4
140,4644,596,2,2026-06-20,Wrong product,approved,14204.52
141,690,266,5,2026-08-02,Size issue,approved,9885.07
142,2758,958,3,2026-09-12,Damaged,approved,25086.36
143,2698,656,2,2026-09-15,Customer changed mind,approved,37987.25
144,442,529,2,2026-07-11,Size issue,approved,987.92
145,3209,155,2,2026-06-10,Damaged,approved,3536.84
146,2484,259,1,2026-08-16,Damaged,approved,30379.13
147,498,823,1,2026-05-01,Defective,approved,63148.23
148,1703,840,1,2026-09-06,Size issue,approved,17362.58
149,3001,812,5,2026-09-16,Customer changed mind,approved,23377.17
150,3244,478,4,2026-09-19,Customer changed mind,approved,35467.81
151,1381,894,1,2026-05-19,Damaged,approved,138306.42
152,3616,427,3,2026-07-05,Damaged,approved,15289.62
153,2382,209,1,2026-07-08,Defective,approved,34247.95
154,403,554,1,2026-07-21,Wrong product,approved,25868.66
155,4499,531,2,2026-05-03,Defective,approved,3283.12
156,2985,701,4,2026-09-13,Wrong product,approved,45926.5
157,4803,827,1,2026-08-04,Wrong product,approved,8924.28
158,2873,731,3,2026-06-02,Wrong product,approved,17178.99
159,2697,417,1,2026-06-07,Customer changed mind,approved,54229.92
160,765,24,5,2026-08-16,Wrong product,approved,18766.57
161,2531,273,4,2026-08-04,Customer changed mind,approved,28855.94
162,3099,358,5,2026-07-04,Customer changed mind,approved,73710.36
163,3846,69,3,2026-05-02,Damaged,approved,39380.53
164,1166,267,3,2026-07-03,Damaged,approved,35215.02
165,1341,181,4,2026-08-14,Defective,approved,24479.84
166,4736,728,1,2026-05-01,Customer changed mind,approved,37599.84
167,848,33,5,2026-07-12,Customer changed mind,approved,13169.54
168,3202,511,2,2026-06-03,Customer changed mind,approved,21955.33
169,295,54,1,2026-08-02,Damaged,approved,21348.96
170,2744,51,2,2026-07-19,Size issue,approved,10187.75
171,3547,104,5,2026-05-06,Customer changed mind,approved,14090.38
172,388,104,5,2026-09-12,Damaged,approved,26574.89
173,2743,464,2,2026-06-21,Defective,approved,83745.61
174,1177,156,4,2026-05-20,Wrong product,approved,58176.99
175,3249,860,1,2026-07-14,Damaged,approved,16750.03
176,3784,877,1,2026-07-11,Damaged,approved,10302.55
177,674,212,2,2026-06-12,Wrong product,approved,40543.49
178,3519,933,3,2026-07-23,Wrong product,approved,41058.42
179,4991,371,4,2026-07-08,Size issue,approved,68835.88
180,3893,75,4,2026-07-24,Size issue,approved,2963.25
181,3872,287,3,2026-07-25,Wrong product,approved,94263.27
182,4657,612,1,2026-09-04,Size issue,approved,32960.53
183,598,573,1,2026-07-14,Wrong product,approved,19738.21
184,3299,798,3,2026-07-09,Damaged,approved,43398.13
185,3849,380,5,2026-07-21,Wrong product,approved,23878.79
186,1861,940,1,2026-06-11,Size issue,approved,10094.73
187,1027,5,3,2026-05-10,Defective,approved,15182.06
188,2578,801,4,2026-08-18,Customer changed mind,approved,45641.39
189,4632,346,2,2026-06-20,Size issue,approved,23506.97
190,782,911,3,2026-08-14,Wrong product,approved,26826.19
191,1317,248,3,2026-08-16,Customer changed mind,approved,9160.9
192,2240,970,1,2026-05-08,Defective,approved,63837.81
193,4134,646,5,2026-06-14,Defective,approved,18260.3
194,4987,633,2,2026-07-24,Size issue,approved,21859.75
195,3153,49,3,2026-05-11,Wrong product,approved,32736.62
196,3602,456,5,2026-08-12,Damaged,approved,38314.65
197,344,185,4,2026-06-14,Size issue,approved,9132.19
198,2742,707,5,2026-06-01,Wrong product,approved,10398.43
199,1305,638,3,2026-06-22,Customer changed mind,approved,21734.9
200,393,233,5,2026-06-16,Customer changed mind,approved,31232.14
201,3351,783,5,2026-07-05,Size issue,approved,17359.39
202,2844,787,4,2026-06-14,Defective,approved,36139.05
203,532,901,2,2026-05-17,Defective,approved,80268.08
204,2666,840,2,2026-08-12,Damaged,approved,48044.51
205,3825,80,3,2026-05-25,Defective,approved,1081.45
206,215,873,5,2026-06-10,Damaged,approved,65893.85
207,1519,139,5,2026-05-07,Customer changed mind,approved,21001.55
208,2126,241,1,2026-09-04,Customer changed mind,approved,14221.85
209,956,460,3,2026-07-19,Size issue,approved,10151.31
210,233,933,2,2026-06-17,Wrong product,approved,50719.18
211,2967,218,5,2026-06-04,Size issue,approved,15939.33
212,1817,285,1,2026-06-12,Customer changed mind,approved,37129.28
213,3193,411,4,2026-06-11,Defective,approved,8539.92
214,1273,842,2,2026-07-01,Size issue,approved,31638.62
215,3655,86,5,2026-07-09,Damaged,approved,107029.97
216,1718,953,3,2026-05-03,Damaged,approved,39026.41
217,3289,382,2,2026-05-02,Damaged,approved,3326.07
218,2097,486,2,2026-09-21,Size issue,approved,16770.86
219,4707,165,1,2026-05-16,Customer changed mind,approved,186.61
220,2753,500,3,2026-08-23,Wrong product,approved,21396.59
221,3637,576,5,2026-06-02,Wrong product,approved,21088.35
222,370,511,1,2026-06-09,Damaged,approved,7396.63
223,3066,677,3,2026-09-08,Size issue,approved,81098.64
224,1787,153,4,2026-08-04,Damaged,approved,35111.02
225,1300,788,4,2026-06-04,Defective,approved,18395.71
226,2925,258,3,2026-06-15,Wrong product,approved,13191.22
227,3494,27,1,2026-09-06,Wrong product,approved,7157.97
228,3359,289,3,2026-06-11,Wrong product,approved,72187.3
229,3127,121,5,2026-08-13,Wrong product,approved,92043.27
230,2379,712,4,2026-09-25,Defective,approved,24875.68
231,4406,840,2,2026-08-11,Size issue,approved,35014.3
232,891,850,5,2026-05-06,Customer changed mind,approved,66205.64
233,4954,691,1,2026-07-05,Size issue,approved,16665.86
234,459,611,3,2026-05-14,Defective,approved,92612.02
235,921,470,2,2026-09-17,Defective,approved,7378.23
236,912,880,4,2026-05-22,Customer changed mind,approved,132018.62
237,4046,434,1,2026-08-21,Defective,approved,26752.58
238,416,823,1,2026-05-24,Wrong product,approved,86977.72
239,4000,523,5,2026-06-11,Wrong product,approved,138643.76
240,4492,35,2,2026-09-15,Defective,approved,33485.76
241,887,388,1,2026-09-09,Defective,approved,107062.83
242,904,912,2,2026-05-20,Defective,approved,35147.92
243,4032,951,5,2026-07-12,Damaged,approved,10536.8
244,3555,440,3,2026-07-25,Size issue,approved,34011.86
245,2310,974,2,2026-09-10,Defective,approved,30831.09
246,2031,223,1,2026-09-06,Wrong product,approved,33085.62
247,4966,964,3,2026-05-23,Damaged,approved,16212.5
248,278,606,5,2026-05-11,Customer changed mind,approved,28243.25
249,3349,996,3,2026-07-23,Damaged,approved,48887.31
250,3958,389,5,2026-08-06,Size issue,approved,24153.04
251,3021,638,2,2026-05-14,Damaged,approved,68401.99
252,1176,844,2,2026-07-02,Wrong product,approved,13291.4
253,2234,106,3,2026-05-23,Defective,approved,34251.86
254,3925,38,4,2026-06-18,Defective,approved,24789.26
255,3058,542,3,2026-05-21,Size issue,approved,23936.3
256,176,106,3,2026-09-01,Defective,approved,53004.95
257,4061,220,5,2026-05-25,Wrong product,approved,7584.45
258,592,581,1,2026-06-01,Damaged,approved,8540.47
259,1474,332,2,2026-09-17,Damaged,approved,39685.31
260,3770,24,1,2026-06-21,Defective,approved,31252.52
261,1412,981,3,2026-08-21,Defective,approved,95554.53
262,2997,245,3,2026-08-02,Wrong product,approved,15275.67
263,4591,701,2,2026-08-11,Defective,approved,106246.66
264,4609,666,5,2026-05-03,Customer changed mind,approved,16181.12
265,4023,815,5,2026-07-07,Size issue,approved,27187.71
266,2049,797,3,2026-05-14,Damaged,approved,52620.92
267,1152,128,5,2026-07-04,Customer changed mind,approved,31534.91
268,1468,509,4,2026-06-11,Damaged,approved,19181.24
269,4340,550,5,2026-09-21,Wrong product,approved,16847.56
270,4005,277,5,2026-07-20,Wrong product,approved,35380.48
271,2992,782,5,2026-07-01,Wrong product,approved,22427.88
272,2115,791,1,2026-07-01,Size issue,approved,37839.85
273,4359,954,1,2026-06-11,Size issue,approved,3255.72
274,4897,153,3,2026-05-07,Size issue,approved,86627.48
275,227,874,4,2026-08-22,Defective,approved,56854.62
276,194,348,2,2026-06-18,Size issue,approved,28832.82
277,3135,613,1,2026-09-21,Size issue,approved,8714.51
278,3343,355,2,2026-08-25,Customer changed mind,approved,24198.53
279,3960,890,2,2026-06-17,Customer changed mind,approved,31992.17
280,2563,868,1,2026-09-15,Customer changed mind,approved,25266.68
281,579,912,5,2026-05-18,Defective,approved,21418.0
282,4384,749,5,2026-07-11,Wrong product,approved,14666.66
283,1206,434,5,2026-05-03,Size issue,approved,37222.51
284,4747,421,1,2026-07-23,Defective,approved,65610.29
285,2533,336,2,2026-09-20,Damaged,approved,30129.98
286,1751,674,4,2026-05-22,Wrong product,approved,83186.02
287,334,534,4,2026-05-21,Customer changed mind,approved,1062.64
288,319,411,2,2026-06-21,Damaged,approved,2446.55
289,2353,35,2,2026-05-20,Wrong product,approved,17969.13
290,2294,21,1,2026-05-08,Defective,approved,8233.35
291,4560,277,3,2026-09-04,Size issue,approved,33014.92
292,1723,193,2,2026-05-02,Wrong product,approved,14599.46
293,4775,336,5,2026-09-07,Customer changed mind,approved,554.38
294,552,421,1,2026-05-19,Wrong product,approved,12386.54
295,3982,110,4,2026-06-12,Defective,approved,5726.79
296,1606,175,1,2026-07-11,Defective,approved,22519.54
297,379,308,1,2026-05-12,Damaged,approved,54186.14
298,186,9,3,2026-06-04,Size issue,approved,4101.74
299,4722,217,2,2026-06-25,Wrong product,approved,11471.17
300,3327,429,3,2026-05-18,Wrong product,approved,11205.42
301,2738,965,2,2026-07-07,Damaged,approved,52019.99
302,4084,955,1,2026-07-09,Wrong product,approved,34390.11
303,4611,843,4,2026-07-18,Wrong product,approved,18811.18
304,3922,517,4,2026-08-10,Defective,approved,32122.17
305,4873,575,3,2026-06-03,Defective,approved,31342.61
306,4157,153,5,2026-09-04,Damaged,approved,39703.2
307,447,93,3,2026-09-10,Size issue,approved,23302.35
308,2361,294,2,2026-07-08,Customer changed mind,approved,21203.71
309,818,452,1,2026-05-17,Size issue,approved,11504.43
310,2672,642,2,2026-06-08,Customer changed mind,approved,13298.31
311,4002,74,4,2026-08-03,Size issue,approved,34373.61
312,2140,634,5,2026-06-02,Damaged,approved,6960.06
313,1119,419,5,2026-08-07,Wrong product,approved,5051.79
314,4857,207,2,2026-05-24,Damaged,approved,82782.68
315,1735,976,3,2026-07-10,Customer changed mind,approved,15868.55
316,1249,303,5,2026-06-24,Customer changed mind,approved,31382.18
317,644,342,4,2026-09-10,Size issue,approved,28169.33
318,3025,300,3,2026-09-03,Size issue,approved,58062.64
319,3561,279,2,2026-06-12,Size issue,approved,68058.05
320,3543,151,3,2026-07-21,Defective,approved,84077.69
321,4535,21,5,2026-05-08,Wrong product,approved,152215.55
322,1235,437,5,2026-09-07,Damaged,approved,235.47
323,4784,655,4,2026-08-03,Defective,approved,117714.03
324,1543,451,5,2026-09-25,Size issue,approved,32449.55
325,4087,565,1,2026-07-05,Customer changed mind,approved,47859.36
326,1791,479,1,2026-06-14,Size issue,approved,11107.53
327,434,640,3,2026-05-10,Defective,approved,33724.66
328,4081,73,1,2026-07-24,Defective,approved,62129.89
329,2105,816,5,2026-09-03,Customer changed mind,approved,32022.62
330,2024,710,4,2026-05-12,Wrong product,approved,25294.29
331,3789,569,4,2026-07-17,Size issue,approved,22944.3
332,270,974,2,2026-05-06,Damaged,approved,113418.61
333,4091,366,4,2026-06-04,Size issue,approved,90552.23
334,1779,965,2,2026-08-01,Wrong product,approved,12636.25
335,2386,943,4,2026-07-04,Wrong product,approved,121820.39
336,4721,345,2,2026-07-05,Size issue,approved,20408.51
337,2735,25,4,2026-06-04,Customer changed mind,approved,104062.16
338,3533,473,5,2026-09-16,Damaged,approved,69914.95
339,4077,640,5,2026-05-04,Damaged,approved,12679.69
340,2806,206,3,2026-09-19,Size issue,approved,65495.33
341,4523,882,1,2026-08-20,Customer changed mind,approved,30598.27
342,2603,705,2,2026-07-22,Customer changed mind,approved,10233.06
343,4781,498,5,2026-05-18,Customer changed mind,approved,31544.85
344,32,749,3,2026-05-03,Defective,approved,46453.18
345,476,152,2,2026-05-14,Damaged,approved,334.02
346,4035,318,4,2026-06-20,Damaged,approved,22367.53
347,2170,805,4,2026-08-03,Defective,approved,24894.38
348,4988,553,5,2026-09-20,Size issue,approved,73998.9
349,1858,905,1,2026-07-21,Customer changed mind,approved,2391.81
350,3729,809,4,2026-07-25,Defective,approved,73214.0
