refund_id,return_id,payment_id,amount,refund_method,refund_status,processed_at
65,65,1060,52190.55,UPI,processed,2026-09-15 12:00:00
66,66,3814,26447.75,UPI,processed,2026-09-15 12:00:00
67,67,2911,25353.85,UPI,processed,2026-09-15 12:00:00
68,68,3727,17096.69,CARD,processed,2026-09-15 12:00:00
69,69,1775,18481.89,CASH,processed,2026-09-15 12:00:00
70,70,873,29285.9,CASH,processed,2026-09-15 12:00:00
71,71,4562,65268.57,UPI,processed,2026-09-15 12:00:00
72,72,1458,96200.53,CARD,processed,2026-09-15 12:00:00
73,73,878,66978.19,CARD,processed,2026-09-15 12:00:00
74,74,1626,17035.89,UPI,processed,2026-09-15 12:00:00
75,75,609,16296.61,CASH,processed,2026-09-15 12:00:00
76,76,1835,37486.11,UPI,processed,2026-09-15 12:00:00
77,77,2045,26021.01,CASH,processed,2026-09-15 12:00:00
78,78,4576,37323.74,CARD,processed,2026-09-15 12:00:00
79,79,489,9324.52,CARD,processed,2026-09-15 12:00:00
80,80,3680,68326.79,CASH,processed,2026-09-15 12:00:00
81,81,4659,7713.07,CASH,processed,2026-09-15 12:00:00
82,82,1289,30582.98,CARD,processed,2026-09-15 12:00:00
83,83,3998,15621.98,CARD,processed,2026-09-15 12:00:00
84,84,2322,59914.43,CARD,processed,2026-09-15 12:00:00
85,85,3311,16816.73,CASH,processed,2026-09-15 12:00:00
86,86,1130,14461.33,UPI,processed,2026-09-15 12:00:00
87,87,1304,15836.88,CARD,processed,2026-09-15 12:00:00
88,88,1346,8373.41,UPI,processed,2026-09-15 12:00:00
89,89,1109,99788.53,UPI,processed,2026-09-15 12:00:00
90,90,2682,21997.79,CARD,processed,2026-09-15 12:00:00
91,91,2211,20401.59,CASH,processed,2026-09-15 12:00:00
92,92,2469,110500.86,UPI,processed,2026-09-15 12:00:00
93,93,3075,19074.36,CARD,processed,2026-09-15 12:00:00
94,94,2021,32448.82,CARD,processed,2026-09-15 12:00:00
95,95,3299,2884.89,CARD,processed,2026-09-15 12:00:00
96,96,1602,16651.27,CASH,processed,2026-09-15 12:00:00
97,97,1114,20388.85,UPI,processed,2026-09-15 12:00:00
98,98,3107,27731.62,CASH,processed,2026-09-15 12:00:00
99,99,3369,32828.78,CASH,processed,2026-09-15 12:00:00
100,100,4631,12970.62,UPI,processed,2026-09-15 12:00:00
101,101,841,72915.6,CARD,processed,2026-09-15 12:00:00
102,102,3952,12834.74,CASH,processed,2026-09-15 12:00:00
103,103,3171,16544.9,CARD,processed,2026-09-15 12:00:00
104,104,4660,32649.97,UPI,processed,2026-09-15 12:00:00
105,105,3221,40812.06,UPI,processed,2026-09-15 12:00:00
106,106,1614,19886.42,CARD,processed,2026-09-15 12:00:00
107,107,1608,28038.99,CASH,processed,2026-09-15 12:00:00
108,108,28,20579.3,CASH,processed,2026-09-15 12:00:00
109,109,1491,20343.82,CASH,processed,2026-09-15 12:00:00
110,110,2360,16331.81,CARD,processed,2026-09-15 12:00:00
111,111,755,6786.72,UPI,processed,2026-09-15 12:00:00
112,112,2573,39679.99,CARD,processed,2026-09-15 12:00:00
113,113,4594,41453.66,UPI,processed,2026-09-15 12:00:00
114,114,2119,70635.53,CARD,processed,2026-09-15 12:00:00
115,115,2214,39387.22,UPI,processed,2026-09-15 12:00:00
116,116,4827,96716.44,UPI,processed,2026-09-15 12:00:00
117,117,3544,4575.77,CASH,processed,2026-09-15 12:00:00
118,118,3755,26169.99,UPI,processed,2026-09-15 12:00:00
119,119,4816,103.13,CASH,processed,2026-09-15 12:00:00
120,120,2111,7766.99,UPI,processed,2026-09-15 12:00:00
121,121,4378,31007.96,UPI,processed,2026-09-15 12:00:00
122,122,2551,15920.13,UPI,processed,2026-09-15 12:00:00
123,123,3706,14628.84,UPI,processed,2026-09-15 12:00:00
124,124,3293,16899.19,CASH,processed,2026-09-15 12:00:00
125,125,4074,6512.81,CASH,processed,2026-09-15 12:00:00
126,126,3048,55785.74,UPI,processed,2026-09-15 12:00:00
127,127,3173,28928.94,CARD,processed,2026-09-15 12:00:00
128,128,4689,4516.72,CARD,processed,2026-09-15 12:00:00
129,129,2351,13270.98,UPI,processed,2026-09-15 12:00:00
130,130,4181,6850.96,UPI,processed,2026-09-15 12:00:00
131,131,2971,10360.76,CARD,processed,2026-09-15 12:00:00
132,132,3491,17229.98,CARD,processed,2026-09-15 12:00:00
133,133,2509,40129.52,UPI,processed,2026-09-15 12:00:00
134,134,4595,73207.56,CASH,processed,2026-09-15 12:00:00
135,135,2048,9779.82,CASH,processed,2026-09-15 12:00:00
136,136,160,8616.92,CASH,processed,2026-09-15 12:00:00
137,137,4152,4655.05,CARD,processed,2026-09-15 12:00:00
138,138,4126,24341.87,CARD,processed,2026-09-15 12:00:00
139,139,444,44514.4,CARD,processed,2026-09-15 12:00:00
140,140,4508,14204.52,CARD,processed,2026-09-15 12:00:00
141,141,668,9885.07,CARD,processed,2026-09-15 12:00:00
142,142,2673,25086.36,UPI,processed,2026-09-15 12:00:00
143,143,2615,37987.25,UPI,processed,2026-09-15 12:00:00
144,144,428,987.92,CARD,processed,2026-09-15 12:00:00
145,145,3109,3536.84,CASH,processed,2026-09-15 12:00:00
146,146,2405,30379.13,CARD,processed,2026-09-15 12:00:00
147,147,484,63148.23,CASH,processed,2026-09-15 12:00:00
148,148,1649,17362.58,CASH,processed,2026-09-15 12:00:00
149,149,2906,23377.17,UPI,processed,2026-09-15 12:00:00
150,150,3143,35467.81,CASH,processed,2026-09-15 12:00:00
151,151,1341,138306.42,CARD,processed,2026-09-15 12:00:00
152,152,3504,15289.62,UPI,processed,2026-09-15 12:00:00
153,153,2309,34247.95,CARD,processed,2026-09-15 12:00:00
154,154,390,25868.66,CARD,processed,2026-09-15 12:00:00
155,155,4364,3283.12,CASH,processed,2026-09-15 12:00:00
156,156,2890,45926.5,CARD,processed,2026-09-15 12:00:00
157,157,4665,8924.28,UPI,processed,2026-09-15 12:00:00
158,158,2785,17178.99,UPI,processed,2026-09-15 12:00:00
159,159,2614,54229.92,CASH,processed,2026-09-15 12:00:00
160,160,742,18766.57,CASH,processed,2026-09-15 12:00:00
161,161,2450,28855.94,UPI,processed,2026-09-15 12:00:00
162,162,3003,73710.36,CARD,processed,2026-09-15 12:00:00
163,163,3728,39380.53,CASH,processed,2026-09-15 12:00:00
164,164,1133,35215.02,CASH,processed,2026-09-15 12:00:00
165,165,1302,24479.84,UPI,processed,2026-09-15 12:00:00
166,166,4599,37599.84,UPI,processed,2026-09-15 12:00:00
167,167,822,13169.54,UPI,processed,2026-09-15 12:00:00
168,168,3102,21955.33,UPI,processed,2026-09-15 12:00:00
169,169,284,21348.96,UPI,processed,2026-09-15 12:00:00
170,170,2659,10187.75,CARD,processed,2026-09-15 12:00:00
171,171,3437,14090.38,CARD,processed,2026-09-15 12:00:00
172,172,375,26574.89,UPI,processed,2026-09-15 12:00:00
173,173,2658,83745.61,UPI,processed,2026-09-15 12:00:00
174,174,1143,58176.99,CASH,processed,2026-09-15 12:00:00
175,175,3148,16750.03,CASH,processed,2026-09-15 12:00:00
176,176,3668,10302.55,CARD,processed,2026-09-15 12:00:00
177,177,652,40543.49,UPI,processed,2026-09-15 12:00:00
178,178,3412,41058.42,UPI,processed,2026-09-15 12:00:00
179,179,4845,68835.88,CARD,processed,2026-09-15 12:00:00
180,180,3775,2963.25,CASH,processed,2026-09-15 12:00:00
181,181,3754,94263.27,UPI,processed,2026-09-15 12:00:00
182,182,4521,32960.53,UPI,processed,2026-09-15 12:00:00
183,183,580,19738.21,UPI,processed,2026-09-15 12:00:00
184,184,3196,43398.13,UPI,processed,2026-09-15 12:00:00
185,185,3731,23878.79,CASH,processed,2026-09-15 12:00:00
186,186,1801,10094.73,CARD,processed,2026-09-15 12:00:00
187,187,998,15182.06,CASH,processed,2026-09-15 12:00:00
188,188,2496,45641.39,UPI,processed,2026-09-15 12:00:00
189,189,4496,23506.97,CARD,processed,2026-09-15 12:00:00
190,190,759,26826.19,CARD,processed,2026-09-15 12:00:00
191,191,1278,9160.9,CARD,processed,2026-09-15 12:00:00
192,192,2170,63837.81,CASH,processed,2026-09-15 12:00:00
193,193,4008,18260.3,UPI,processed,2026-09-15 12:00:00
194,194,4841,21859.75,UPI,processed,2026-09-15 12:00:00
195,195,3056,32736.62,CASH,processed,2026-09-15 12:00:00
196,196,3490,38314.65,CARD,processed,2026-09-15 12:00:00
197,197,331,9132.19,UPI,processed,2026-09-15 12:00:00
198,198,2657,10398.43,CASH,processed,2026-09-15 12:00:00
199,199,1267,21734.9,CARD,processed,2026-09-15 12:00:00
200,200,380,31232.14,CASH,processed,2026-09-15 12:00:00
201,201,3247,17359.39,UPI,processed,2026-09-15 12:00:00
202,202,2756,36139.05,CARD,processed,2026-09-15 12:00:00
203,203,518,80268.08,UPI,processed,2026-09-15 12:00:00
204,204,2583,48044.51,CASH,processed,2026-09-15 12:00:00
205,205,3707,1081.45,UPI,processed,2026-09-15 12:00:00
206,206,206,65893.85,CASH,processed,2026-09-15 12:00:00
207,207,1473,21001.55,CARD,processed,2026-09-15 12:00:00
208,208,2061,14221.85,CARD,processed,2026-09-15 12:00:00
209,209,928,10151.31,CASH,processed,2026-09-15 12:00:00
210,210,224,50719.18,UPI,processed,2026-09-15 12:00:00
211,211,2873,15939.33,CASH,processed,2026-09-15 12:00:00
212,212,1759,37129.28,CARD,processed,2026-09-15 12:00:00
213,213,3094,8539.92,CASH,processed,2026-09-15 12:00:00
214,214,1235,31638.62,UPI,processed,2026-09-15 12:00:00
215,215,3543,107029.97,CASH,processed,2026-09-15 12:00:00
216,216,1664,39026.41,CARD,processed,2026-09-15 12:00:00
217,217,3186,3326.07,CARD,processed,2026-09-15 12:00:00
218,218,2034,16770.86,CASH,processed,2026-09-15 12:00:00
219,219,4570,186.61,UPI,processed,2026-09-15 12:00:00
220,220,2668,21396.59,CASH,processed,2026-09-15 12:00:00
221,221,3525,21088.35,CARD,processed,2026-09-15 12:00:00
222,222,357,7396.63,CASH,processed,2026-09-15 12:00:00
223,223,2970,81098.64,CASH,processed,2026-09-15 12:00:00
224,224,1732,35111.02,CASH,processed,2026-09-15 12:00:00
225,225,1262,18395.71,UPI,processed,2026-09-15 12:00:00
226,226,2832,13191.22,CARD,processed,2026-09-15 12:00:00
227,227,3387,7157.97,CARD,processed,2026-09-15 12:00:00
228,228,3255,72187.3,CARD,processed,2026-09-15 12:00:00
229,229,3030,92043.27,UPI,processed,2026-09-15 12:00:00
230,230,2306,24875.68,CASH,processed,2026-09-15 12:00:00
231,231,4275,35014.3,UPI,processed,2026-09-15 12:00:00
232,232,864,66205.64,CARD,processed,2026-09-15 12:00:00
233,233,4809,16665.86,UPI,processed,2026-09-15 12:00:00
234,234,445,92612.02,CARD,processed,2026-09-15 12:00:00
235,235,894,7378.23,CASH,processed,2026-09-15 12:00:00
236,236,885,132018.62,UPI,processed,2026-09-15 12:00:00
237,237,3923,26752.58,CARD,processed,2026-09-15 12:00:00
238,238,403,86977.72,CARD,processed,2026-09-15 12:00:00
239,239,3878,138643.76,UPI,processed,2026-09-15 12:00:00
240,240,4357,33485.76,CARD,processed,2026-09-15 12:00:00
241,241,860,107062.83,UPI,processed,2026-09-15 12:00:00
242,242,877,35147.92,CASH,processed,2026-09-15 12:00:00
243,243,3910,10536.8,CASH,processed,2026-09-15 12:00:00
244,244,3444,34011.86,CARD,processed,2026-09-15 12:00:00
245,245,2240,30831.09,CARD,processed,2026-09-15 12:00:00
246,246,1970,33085.62,CARD,processed,2026-09-15 12:00:00
247,247,4821,16212.5,UPI,processed,2026-09-15 12:00:00
248,248,267,28243.25,CASH,processed,2026-09-15 12:00:00
249,249,3245,48887.31,CASH,processed,2026-09-15 12:00:00
250,250,3837,24153.04,CASH,processed,2026-09-15 12:00:00
251,251,2926,68401.99,CARD,processed,2026-09-15 12:00:00
252,252,1142,13291.4,CARD,processed,2026-09-15 12:00:00
253,253,2164,34251.86,CASH,processed,2026-09-15 12:00:00
254,254,3805,24789.26,CARD,processed,2026-09-15 12:00:00
255,255,2962,23936.3,CASH,processed,2026-09-15 12:00:00
256,256,170,53004.95,CARD,processed,2026-09-15 12:00:00
257,257,3938,7584.45,UPI,processed,2026-09-15 12:00:00
258,258,575,8540.47,CARD,processed,2026-09-15 12:00:00
259,259,1430,39685.31,CASH,processed,2026-09-15 12:00:00
260,260,3654,31252.52,CARD,processed,2026-09-15 12:00:00
261,261,1369,95554.53,CARD,processed,2026-09-15 12:00:00
262,262,2902,15275.67,CASH,processed,2026-09-15 12:00:00
263,263,4456,106246.66,CARD,processed,2026-09-15 12:00:00
264,264,4473,16181.12,CASH,processed,2026-09-15 12:00:00
265,265,3901,27187.71,CASH,processed,2026-09-15 12:00:00
266,266,1987,52620.92,CASH,processed,2026-09-15 12:00:00
267,267,1119,31534.91,CARD,processed,2026-09-15 12:00:00
268,268,1425,19181.24,UPI,processed,2026-09-15 12:00:00
269,269,4210,16847.56,CARD,processed,2026-09-15 12:00:00
270,270,3883,35380.48,CASH,processed,2026-09-15 12:00:00
271,271,2897,22427.88,UPI,processed,2026-09-15 12:00:00
272,272,2050,37839.85,UPI,processed,2026-09-15 12:00:00
273,273,4229,3255.72,UPI,processed,2026-09-15 12:00:00
274,274,4753,86627.48,CARD,processed,2026-09-15 12:00:00
275,275,218,56854.62,CARD,processed,2026-09-15 12:00:00
276,276,187,28832.82,CASH,processed,2026-09-15 12:00:00
277,277,3038,8714.51,CARD,processed,2026-09-15 12:00:00
278,278,3239,24198.53,CARD,processed,2026-09-15 12:00:00
279,279,3839,31992.17,CARD,processed,2026-09-15 12:00:00
280,280,2482,25266.68,CASH,processed,2026-09-15 12:00:00
281,281,562,21418.0,CARD,processed,2026-09-15 12:00:00
282,282,4254,14666.66,CASH,processed,2026-09-15 12:00:00
283,283,1170,37222.51,CARD,processed,2026-09-15 12:00:00
284,284,4610,65610.29,CARD,processed,2026-09-15 12:00:00
285,285,2452,30129.98,UPI,processed,2026-09-15 12:00:00
286,286,1696,83186.02,CASH,processed,2026-09-15 12:00:00
287,287,321,1062.64,CASH,processed,2026-09-15 12:00:00
288,288,306,2446.55,UPI,processed,2026-09-15 12:00:00
289,289,2282,17969.13,CASH,processed,2026-09-15 12:00:00
290,290,2224,8233.35,CASH,processed,2026-09-15 12:00:00
291,291,4425,33014.92,CASH,processed,2026-09-15 12:00:00
292,292,1669,14599.46,CARD,processed,2026-09-15 12:00:00
293,293,4637,554.38,UPI,processed,2026-09-15 12:00:00
294,294,536,12386.54,UPI,processed,2026-09-15 12:00:00
295,295,3860,5726.79,CASH,processed,2026-09-15 12:00:00
296,296,1557,22519.54,UPI,processed,2026-09-15 12:00:00
297,297,366,54186.14,CARD,processed,2026-09-15 12:00:00
298,298,180,4101.74,UPI,processed,2026-09-15 12:00:00
299,299,4585,11471.17,CARD,processed,2026-09-15 12:00:00
300,300,3223,11205.42,CASH,processed,2026-09-15 12:00:00
301,301,2653,52019.99,CASH,processed,2026-09-15 12:00:00
302,302,3960,34390.11,CASH,processed,2026-09-15 12:00:00
303,303,4475,18811.18,CARD,processed,2026-09-15 12:00:00
304,304,3802,32122.17,CARD,processed,2026-09-15 12:00:00
305,305,4730,31342.61,CASH,processed,2026-09-15 12:00:00
306,306,4031,39703.2,CASH,processed,2026-09-15 12:00:00
307,307,433,23302.35,CARD,processed,2026-09-15 12:00:00
308,308,2289,21203.71,CASH,processed,2026-09-15 12:00:00
309,309,793,11504.43,UPI,processed,2026-09-15 12:00:00
310,310,2589,13298.31,CASH,processed,2026-09-15 12:00:00
311,311,3880,34373.61,CASH,processed,2026-09-15 12:00:00
312,312,2075,6960.06,CARD,processed,2026-09-15 12:00:00
313,313,1087,5051.79,CASH,processed,2026-09-15 12:00:00
314,314,4719,82782.68,CASH,processed,2026-09-15 12:00:00
315,315,1681,15868.55,UPI,processed,2026-09-15 12:00:00
316,316,1211,31382.18,UPI,processed,2026-09-15 12:00:00
317,317,623,28169.33,CARD,processed,2026-09-15 12:00:00
318,318,2930,58062.64,CASH,processed,2026-09-15 12:00:00
319,319,3450,68058.05,CASH,processed,2026-09-15 12:00:00
320,320,3434,84077.69,UPI,processed,2026-09-15 12:00:00
321,321,4400,152215.55,CARD,processed,2026-09-15 12:00:00
322,322,1197,235.47,UPI,processed,2026-09-15 12:00:00
323,323,4646,117714.03,CASH,processed,2026-09-15 12:00:00
324,324,1497,32449.55,CARD,processed,2026-09-15 12:00:00
325,325,3962,47859.36,CARD,processed,2026-09-15 12:00:00
326,326,1736,11107.53,CARD,processed,2026-09-15 12:00:00
327,327,420,33724.66,UPI,processed,2026-09-15 12:00:00
328,328,3957,62129.89,CASH,processed,2026-09-15 12:00:00
329,329,2042,32022.62,UPI,processed,2026-09-15 12:00:00
330,330,1963,25294.29,CARD,processed,2026-09-15 12:00:00
331,331,3673,22944.3,UPI,processed,2026-09-15 12:00:00
332,332,259,113418.61,UPI,processed,2026-09-15 12:00:00
333,333,3966,90552.23,UPI,processed,2026-09-15 12:00:00
334,334,1724,12636.25,UPI,processed,2026-09-15 12:00:00
335,335,2312,121820.39,CASH,processed,2026-09-15 12:00:00
336,336,4584,20408.51,CASH,processed,2026-09-15 12:00:00
337,337,2650,104062.16,CARD,processed,2026-09-15 12:00:00
338,338,3426,69914.95,UPI,processed,2026-09-15 12:00:00
339,339,3953,12679.69,UPI,processed,2026-09-15 12:00:00
340,340,2719,65495.33,CASH,processed,2026-09-15 12:00:00
341,341,4388,30598.27,CASH,processed,2026-09-15 12:00:00
342,342,2520,10233.06,CASH,processed,2026-09-15 12:00:00
343,343,4643,31544.85,CARD,processed,2026-09-15 12:00:00
344,344,30,46453.18,CARD,processed,2026-09-15 12:00:00
345,345,462,334.02,CARD,processed,2026-09-15 12:00:00
346,346,3913,22367.53,UPI,processed,2026-09-15 12:00:00
347,347,2104,24894.38,CARD,processed,2026-09-15 12:00:00
348,348,4842,73998.9,CASH,processed,2026-09-15 12:00:00
349,349,1799,2391.81,CARD,processed,2026-09-15 12:00:00
350,350,3615,73214.0,UPI,processed,2026-09-15 12:00:00
