sale_id,store_id,customer_id,user_id,invoice_number,sale_date,subtotal,discount,tax,total_amount,status
34,5,335,34,INV-000034,2026-08-07 20:14:00,177357.48,19271.51,28455.47,186541.44,COMPLETED
35,2,85,13,INV-000035,2026-07-31 18:47:00,117945.76,3716.11,20561.34,134790.99,COMPLETED
36,2,493,10,INV-000036,2026-08-22 12:31:00,178680.75,9872.07,30385.57,199194.25,COMPLETED
37,2,353,13,INV-000037,2026-08-31 19:01:00,322524.46,15245.72,55310.18,362588.92,COMPLETED
38,1,972,2,INV-000038,2026-09-06 11:55:00,247212.1,8704.36,42931.39,281439.13,COMPLETED
39,4,712,26,INV-000039,2026-09-26 19:01:00,99001.54,1080.11,17625.86,115547.29,COMPLETED
40,1,300,1,INV-000040,2026-09-14 15:14:00,224012.6,12018.43,38158.96,250153.13,COMPLETED
41,4,763,30,INV-000041,2026-05-11 09:22:00,206136.05,21666.64,33204.49,217673.9,COMPLETED
42,3,156,18,INV-000042,2026-06-27 15:42:00,80813.32,4215.05,13787.69,90385.96,COMPLETED
43,5,460,37,INV-000043,2026-08-17 11:13:00,48183.57,4685.18,7829.71,51328.1,COMPLETED
44,2,326,10,INV-000044,2026-04-18 17:34:00,8406.75,846.92,1360.77,8920.6,COMPLETED
45,3,985,22,INV-000045,2026-07-15 13:28:00,199680.39,12789.97,33640.28,220530.7,COMPLETED
46,1,82,5,INV-000046,2026-09-24 16:08:00,278881.06,13786.62,47717.02,312811.46,COMPLETED
47,2,68,10,INV-000047,2026-05-16 16:55:00,234181.05,16984.66,39095.36,256291.75,COMPLETED
48,2,753,14,INV-000048,2026-04-11 17:24:00,582031.68,32020.93,99001.93,649012.68,COMPLETED
49,4,740,25,INV-000049,2026-08-07 10:11:00,304776.84,17037.07,51793.15,339532.92,COMPLETED
50,4,88,29,INV-000050,2026-08-13 20:24:00,184074.99,8475.37,31607.93,207207.55,COMPLETED
51,2,921,9,INV-000051,2026-05-04 12:00:00,576640.89,21544.68,99917.31,655013.52,COMPLETED
52,5,635,37,INV-000052,2026-09-08 17:52:00,89324.43,571.72,15975.49,104728.2,COMPLETED
53,1,112,1,INV-000053,2026-07-16 11:10:00,117909.12,12489.04,18975.62,124395.7,COMPLETED
54,1,864,6,INV-000054,2026-08-19 10:18:00,252437.13,15975.84,42563.03,279024.32,CANCELLED
55,5,496,33,INV-000055,2026-09-24 18:59:00,212935.63,18086.44,35072.86,229922.05,COMPLETED
56,2,726,10,INV-000056,2026-06-14 12:00:00,4717.92,354.1,785.49,5149.31,COMPLETED
57,5,424,38,INV-000057,2026-04-12 14:22:00,288290.31,16188.24,48978.38,321080.45,COMPLETED
58,2,339,10,INV-000058,2026-06-26 19:30:00,388389.33,27111.51,65030.01,426307.83,COMPLETED
59,3,214,17,INV-000059,2026-08-26 19:21:00,209676.94,14705.88,35094.79,230065.85,COMPLETED
60,3,727,21,INV-000060,2026-04-09 13:26:00,96380.1,4297.59,16574.85,108657.36,COMPLETED
61,5,180,37,INV-000061,2026-04-29 14:50:00,56938.1,6240.56,9125.56,59823.1,COMPLETED
62,4,195,26,INV-000062,2026-06-27 16:46:00,109012.11,3605.9,18973.12,124379.33,COMPLETED
63,4,106,25,INV-000063,2026-08-12 19:47:00,179898.99,7680.9,30999.25,203217.34,COMPLETED
64,1,153,5,INV-000064,2026-05-11 13:07:00,7458.41,184.89,1309.23,8582.75,COMPLETED
65,2,588,13,INV-000065,2026-06-02 11:04:00,95971.06,2426.98,16837.94,110382.02,COMPLETED
66,2,632,14,INV-000066,2026-07-01 13:21:00,187841.06,13635.44,31357.01,205562.63,COMPLETED
67,4,701,29,INV-000067,2026-09-12 20:49:00,394844.82,26562.02,66290.9,434573.7,COMPLETED
68,3,473,22,INV-000068,2026-05-14 13:49:00,109277.35,6816.03,18443.04,120904.36,COMPLETED
69,4,636,26,INV-000069,2026-06-02 17:10:00,299762.53,21948.43,50006.53,327820.63,COMPLETED
70,5,334,38,INV-000070,2026-08-21 10:52:00,115132.16,6542.2,19546.19,128136.15,COMPLETED
71,2,464,10,INV-000071,2026-08-15 13:24:00,187634.57,12612.17,31504.04,206526.44,COMPLETED
72,3,379,17,INV-000072,2026-08-19 09:00:00,371995.65,24332.49,62579.38,410242.54,COMPLETED
73,3,158,22,INV-000073,2026-06-13 19:08:00,182226.03,12325.15,30582.16,200483.04,CANCELLED
74,2,141,9,INV-000074,2026-09-12 15:55:00,459822.5,24641.16,78332.64,513513.98,COMPLETED
75,2,421,13,INV-000075,2026-08-18 18:23:00,127178.56,10757.51,20955.79,137376.84,COMPLETED
76,1,748,2,INV-000076,2026-08-13 13:29:00,152642.25,10196.25,25640.28,168086.28,COMPLETED
77,3,362,22,INV-000077,2026-06-15 13:10:00,118858.02,10368.77,19528.06,128017.31,COMPLETED
78,4,587,26,INV-000078,2026-04-14 19:18:00,227909.51,8037.34,39576.99,259449.16,COMPLETED
79,4,828,29,INV-000079,2026-05-15 13:50:00,62308.28,5119.88,10293.91,67482.31,COMPLETED
80,4,789,30,INV-000080,2026-07-08 12:42:00,157884.2,5851.57,27365.86,179398.49,COMPLETED
81,4,269,30,INV-000081,2026-05-08 17:55:00,317393.19,24571.61,52707.89,345529.47,COMPLETED
82,3,822,21,INV-000082,2026-04-26 13:41:00,195210.27,14020.48,32614.17,213803.96,COMPLETED
83,4,225,29,INV-000083,2026-06-12 13:12:00,1179.48,8.05,210.86,1382.29,COMPLETED
84,1,89,1,INV-000084,2026-09-02 11:24:00,256743.71,11094.22,44216.91,289866.4,COMPLETED
85,1,398,6,INV-000085,2026-06-25 09:16:00,58950.16,5347.84,9648.42,63250.74,COMPLETED
86,5,935,33,INV-000086,2026-07-23 20:16:00,9902.75,83.67,1767.43,11586.51,COMPLETED
87,4,669,26,INV-000087,2026-09-11 09:59:00,131376.4,4200.42,22891.68,150067.66,COMPLETED
88,1,490,6,INV-000088,2026-07-21 15:54:00,9649.9,3.83,1736.29,11382.36,COMPLETED
89,5,342,37,INV-000089,2026-09-22 13:25:00,38305.79,1679.43,6592.74,43219.1,COMPLETED
90,4,664,29,INV-000090,2026-05-22 11:35:00,43733.72,1568.49,7589.74,49754.97,COMPLETED
91,3,87,22,INV-000091,2026-09-09 16:47:00,83923.34,3795.08,14423.09,94551.35,COMPLETED
92,5,990,38,INV-000092,2026-04-05 09:21:00,21959.44,1068.57,3760.36,24651.23,COMPLETED
93,5,759,34,INV-000093,2026-08-27 12:59:00,63589.28,3730.62,10774.56,70633.22,COMPLETED
94,2,177,9,INV-000094,2026-09-09 09:57:00,105603.55,6225.97,17887.96,117265.54,COMPLETED
95,2,346,14,INV-000095,2026-09-21 15:20:00,86501.1,3338.15,14969.33,98132.28,COMPLETED
96,1,344,2,INV-000096,2026-04-17 10:17:00,50407.94,2997.39,8533.9,55944.45,COMPLETED
97,1,797,6,INV-000097,2026-05-11 09:56:00,122210.89,6432.36,20840.13,136618.66,COMPLETED
98,2,626,10,INV-000098,2026-09-25 09:38:00,156275.98,6915.73,26884.85,176245.1,COMPLETED
99,1,634,1,INV-000099,2026-07-02 17:32:00,74033.8,2451.37,12884.84,84467.27,COMPLETED
100,2,687,10,INV-000100,2026-04-12 09:41:00,96970.31,4976.54,16558.88,108552.65,COMPLETED
101,5,73,33,INV-000101,2026-05-31 20:28:00,163503.43,9106.12,27791.52,182188.83,COMPLETED
102,4,222,26,INV-000102,2026-09-04 16:11:00,94206.3,3719.88,16287.55,106773.97,COMPLETED
103,4,779,26,INV-000103,2026-06-27 12:56:00,251519.5,19114.32,41832.94,274238.12,COMPLETED
104,4,15,29,INV-000104,2026-07-19 20:55:00,25855.0,2668.95,4173.49,27359.54,COMPLETED
105,1,752,6,INV-000105,2026-08-08 09:27:00,260151.23,19008.31,43405.72,284548.64,COMPLETED
106,4,166,29,INV-000106,2026-09-28 16:54:00,108764.96,7884.13,18158.54,119039.37,COMPLETED
107,4,715,29,INV-000107,2026-09-04 17:36:00,152238.1,13130.16,25039.43,164147.37,COMPLETED
108,1,393,1,INV-000108,2026-07-03 16:39:00,107221.32,2255.09,18893.92,123860.15,COMPLETED
109,2,343,10,INV-000109,2026-06-01 17:07:00,266634.32,13623.73,45541.91,298552.5,COMPLETED
110,4,482,25,INV-000110,2026-08-15 19:52:00,114075.13,8299.06,19039.69,124815.76,COMPLETED
111,2,534,10,INV-000111,2026-09-08 09:18:00,165108.17,7243.22,28415.7,186280.65,COMPLETED
112,5,672,37,INV-000112,2026-09-13 14:31:00,416813.91,28662.35,69867.28,458018.84,COMPLETED
113,3,467,21,INV-000113,2026-05-13 18:59:00,62519.5,2232.46,10851.66,71138.7,COMPLETED
114,2,43,9,INV-000114,2026-06-21 18:08:00,102327.47,6071.67,17326.04,113581.84,COMPLETED
115,4,971,26,INV-000115,2026-07-27 14:09:00,44404.59,3448.87,7372.03,48327.75,COMPLETED
116,5,819,34,INV-000116,2026-08-23 20:58:00,229656.94,20251.87,37692.92,247097.99,COMPLETED
117,3,623,17,INV-000117,2026-09-12 12:37:00,244709.5,14651.76,41410.39,271468.13,COMPLETED
118,3,152,22,INV-000118,2026-07-19 14:24:00,181163.45,11394.8,30558.36,200327.01,COMPLETED
119,4,168,29,INV-000119,2026-07-18 20:57:00,266027.8,6153.99,46777.29,306651.1,COMPLETED
120,2,728,14,INV-000120,2026-08-24 11:12:00,98248.3,7204.59,16387.87,107431.58,COMPLETED
121,5,230,38,INV-000121,2026-04-07 09:09:00,228023.69,14760.67,38387.35,251650.37,COMPLETED
122,3,994,22,INV-000122,2026-04-18 18:47:00,126305.57,12631.18,20461.39,134135.78,COMPLETED
123,3,596,18,INV-000123,2026-04-15 11:20:00,350275.62,14204.91,60492.72,396563.43,COMPLETED
124,2,614,9,INV-000124,2026-05-13 17:20:00,182120.01,13986.5,30264.04,198397.55,COMPLETED
125,4,349,30,INV-000125,2026-05-12 10:13:00,26685.52,1617.6,4512.22,29580.14,COMPLETED
126,2,492,9,INV-000126,2026-06-29 13:44:00,155827.87,1612.65,27758.74,181973.96,COMPLETED
127,2,129,13,INV-000127,2026-05-24 11:05:00,225812.33,15976.82,37770.39,247605.9,COMPLETED
128,1,45,5,INV-000128,2026-04-17 13:42:00,5562.52,522.23,907.25,5947.54,COMPLETED
129,2,687,10,INV-000129,2026-06-29 09:05:00,65578.32,4601.12,10975.9,71953.1,COMPLETED
130,5,102,33,INV-000130,2026-08-27 09:33:00,80793.43,6060.17,13451.99,88185.25,COMPLETED
131,5,376,38,INV-000131,2026-09-26 18:11:00,308260.84,12953.55,53155.31,348462.6,COMPLETED
132,3,571,21,INV-000132,2026-04-11 10:20:00,286542.14,8998.51,49957.86,327501.49,COMPLETED
133,3,14,18,INV-000133,2026-09-20 16:43:00,138269.6,8672.2,23327.53,152924.93,COMPLETED
134,4,712,30,INV-000134,2026-08-30 10:47:00,194600.88,4204.44,34271.36,224667.8,COMPLETED
135,5,775,37,INV-000135,2026-09-12 15:22:00,352752.45,10754.22,61559.69,403557.92,COMPLETED
136,1,511,1,INV-000136,2026-09-21 09:11:00,218282.58,16980.36,36234.41,237536.63,COMPLETED
137,3,976,17,INV-000137,2026-04-09 15:56:00,87467.44,3301.64,15149.84,99315.64,COMPLETED
138,1,571,2,INV-000138,2026-09-16 13:56:00,201587.62,11177.37,34273.85,224684.1,COMPLETED
139,5,488,38,INV-000139,2026-08-22 11:32:00,138469.83,8219.98,23444.97,153694.82,CANCELLED
140,5,785,37,INV-000140,2026-06-12 14:03:00,37157.0,571.61,6585.37,43170.76,COMPLETED
141,3,100,22,INV-000141,2026-07-19 14:22:00,170098.08,11147.74,28611.05,187561.39,COMPLETED
142,4,582,30,INV-000142,2026-08-10 15:17:00,160240.6,11306.37,26808.16,175742.39,CANCELLED
143,4,331,30,INV-000143,2026-08-25 10:51:00,254188.41,8201.02,44277.74,290265.13,COMPLETED
144,5,295,34,INV-000144,2026-06-07 09:19:00,307226.11,15625.79,52488.06,344088.38,COMPLETED
145,3,680,22,INV-000145,2026-08-17 14:12:00,207404.64,18571.06,33990.04,222823.62,COMPLETED
146,5,958,38,INV-000146,2026-08-23 20:40:00,59031.48,2580.44,10161.19,66612.23,COMPLETED
147,3,421,22,INV-000147,2026-06-21 10:40:00,50286.97,3287.07,8459.98,55459.88,COMPLETED
148,1,197,2,INV-000148,2026-04-08 12:51:00,277488.98,9823.72,48179.75,315845.01,COMPLETED
149,5,660,34,INV-000149,2026-04-11 20:31:00,37893.41,1427.39,6563.88,43029.9,COMPLETED
150,4,688,29,INV-000150,2026-09-16 10:25:00,57449.98,3525.55,9706.4,63630.83,COMPLETED
151,3,853,21,INV-000151,2026-08-28 20:24:00,130067.38,2678.69,22929.97,150318.66,COMPLETED
152,5,503,33,INV-000152,2026-08-15 14:44:00,43777.8,2494.57,7430.98,48714.21,COMPLETED
153,2,487,13,INV-000153,2026-07-04 13:01:00,163365.4,11320.12,27368.14,179413.42,COMPLETED
154,1,950,6,INV-000154,2026-06-05 13:05:00,53292.14,5792.9,8549.86,56049.1,COMPLETED
155,1,888,5,INV-000155,2026-04-21 16:30:00,244384.21,18221.91,40709.21,266871.51,COMPLETED
156,1,657,1,INV-000156,2026-09-12 11:40:00,306826.66,10687.04,53305.14,349444.76,COMPLETED
157,5,812,38,INV-000157,2026-06-21 16:30:00,133361.98,12162.75,21815.86,143015.09,COMPLETED
158,4,22,26,INV-000158,2026-04-06 17:41:00,315256.67,11417.15,54691.11,358530.63,COMPLETED
159,5,792,38,INV-000159,2026-07-26 19:31:00,86028.0,1967.06,15130.97,99191.91,COMPLETED
160,4,134,30,INV-000160,2026-07-20 12:38:00,107189.78,8515.85,17761.31,116435.24,COMPLETED
161,5,930,38,INV-000161,2026-06-03 14:37:00,277027.39,21105.23,46065.99,301988.15,COMPLETED
162,2,931,14,INV-000162,2026-06-30 18:42:00,204095.23,13345.26,34335.0,225084.97,COMPLETED
163,3,136,22,INV-000163,2026-04-23 14:45:00,354637.35,33476.58,57808.95,378969.72,COMPLETED
164,3,915,22,INV-000164,2026-05-13 14:47:00,322961.78,2446.28,57692.79,378208.29,COMPLETED
165,4,453,25,INV-000165,2026-07-01 20:35:00,63161.79,2411.47,10935.06,71685.38,COMPLETED
166,1,427,2,INV-000166,2026-04-20 12:49:00,96086.93,3842.82,16603.94,108848.05,COMPLETED
167,3,338,17,INV-000167,2026-04-12 19:39:00,128749.72,6889.49,21934.84,143795.07,COMPLETED
168,4,183,29,INV-000168,2026-06-01 15:05:00,23545.72,460.39,4155.36,27240.69,COMPLETED
169,2,306,9,INV-000169,2026-08-04 15:47:00,141205.13,9712.94,23668.6,155160.79,COMPLETED
170,5,93,38,INV-000170,2026-07-18 14:39:00,214888.13,14536.54,36063.29,236414.88,COMPLETED
171,4,298,25,INV-000171,2026-07-29 15:05:00,298848.79,16716.35,50783.85,332916.29,COMPLETED
172,4,364,29,INV-000172,2026-06-05 18:05:00,326562.32,25139.92,54256.03,355678.43,COMPLETED
173,2,190,10,INV-000173,2026-04-21 20:38:00,170663.71,9420.76,29023.73,190266.68,COMPLETED
174,5,311,38,INV-000174,2026-09-06 18:23:00,165248.9,5824.15,28696.46,188121.21,COMPLETED
175,5,89,34,INV-000175,2026-06-17 16:09:00,183794.44,13686.19,30619.48,200727.73,COMPLETED
176,3,106,17,INV-000176,2026-09-09 20:27:00,203825.71,5222.6,35748.55,234351.66,COMPLETED
177,1,915,5,INV-000177,2026-09-13 15:56:00,191552.77,8693.54,32914.66,215773.89,COMPLETED
178,3,135,22,INV-000178,2026-06-15 20:45:00,198070.67,16618.81,32661.34,214113.2,COMPLETED
179,5,104,38,INV-000179,2026-07-16 16:19:00,74593.92,7954.84,11995.04,78634.12,COMPLETED
180,5,827,33,INV-000180,2026-04-17 14:27:00,36572.16,529.66,6487.65,42530.15,COMPLETED
181,3,789,17,INV-000181,2026-08-21 13:57:00,163010.94,15498.44,26552.25,174064.75,COMPLETED
182,5,844,33,INV-000182,2026-08-22 09:32:00,16510.19,1725.39,2661.26,17446.06,COMPLETED
183,3,781,22,INV-000183,2026-08-08 16:46:00,33142.26,1330.76,5726.07,37537.57,COMPLETED
184,4,252,25,INV-000184,2026-07-31 14:18:00,289440.28,17719.58,48909.73,320630.43,COMPLETED
185,4,789,26,INV-000185,2026-04-03 20:51:00,179331.67,13417.19,29864.61,195779.09,COMPLETED
186,3,9,21,INV-000186,2026-06-11 17:39:00,83020.72,6825.94,13715.06,89909.84,COMPLETED
187,2,87,13,INV-000187,2026-04-10 17:21:00,176839.68,6107.35,30731.81,201464.14,COMPLETED
188,3,518,22,INV-000188,2026-04-29 20:03:00,180308.37,4803.52,31590.88,207095.73,CANCELLED
189,5,359,34,INV-000189,2026-06-16 13:42:00,244936.6,8416.03,42573.69,279094.26,COMPLETED
190,2,80,14,INV-000190,2026-07-04 19:33:00,561322.32,49647.35,92101.5,603776.47,COMPLETED
191,5,497,34,INV-000191,2026-07-27 11:45:00,457791.7,33880.71,76303.98,500214.97,COMPLETED
192,5,121,34,INV-000192,2026-07-05 13:23:00,288773.48,11386.46,49929.66,327316.68,COMPLETED
193,1,70,5,INV-000193,2026-04-12 15:30:00,166301.22,7593.93,28567.32,187274.61,COMPLETED
194,2,348,14,INV-000194,2026-08-17 09:42:00,131005.65,9990.68,21782.7,142797.67,COMPLETED
195,5,769,34,INV-000195,2026-07-31 17:57:00,89106.76,10290.51,14186.92,93003.17,COMPLETED
196,5,87,38,INV-000196,2026-08-15 18:20:00,143787.78,5466.25,24897.88,163219.41,COMPLETED
197,2,262,10,INV-000197,2026-04-23 11:19:00,349355.18,21430.98,59026.36,386950.56,COMPLETED
198,2,771,10,INV-000198,2026-08-31 18:15:00,165112.46,5643.5,28704.41,188173.37,COMPLETED
199,5,253,33,INV-000199,2026-08-21 19:50:00,20832.92,1136.7,3545.32,23241.54,COMPLETED
200,2,985,14,INV-000200,2026-08-21 16:02:00,42926.36,4950.86,6835.59,44811.09,COMPLETED
201,1,280,6,INV-000201,2026-09-01 13:53:00,256854.73,17103.75,43155.17,282906.15,CANCELLED
202,4,626,26,INV-000202,2026-08-08 14:56:00,198608.18,13113.4,33389.06,218883.84,COMPLETED
203,1,5,6,INV-000203,2026-04-03 19:11:00,281811.85,23458.74,46503.55,304856.66,COMPLETED
204,5,397,37,INV-000204,2026-05-16 20:00:00,110713.17,12438.6,17689.42,115963.99,COMPLETED
205,1,697,5,INV-000205,2026-07-01 12:05:00,314861.62,23021.78,52531.18,344371.02,COMPLETED
206,5,676,34,INV-000206,2026-08-23 19:43:00,259510.74,17145.48,43625.75,285991.01,COMPLETED
207,1,443,5,INV-000207,2026-07-14 13:07:00,300951.36,10731.66,52239.54,342459.24,COMPLETED
208,2,981,14,INV-000208,2026-04-20 12:12:00,18282.75,687.65,3167.11,20762.21,COMPLETED
209,3,254,21,INV-000209,2026-04-28 16:15:00,159670.38,12535.57,26484.27,173619.08,COMPLETED
210,1,387,1,INV-000210,2026-06-20 20:04:00,220278.84,1543.58,39372.35,258107.61,COMPLETED
211,4,99,30,INV-000211,2026-09-06 15:14:00,253727.61,17270.57,42562.26,279019.3,COMPLETED
212,1,927,2,INV-000212,2026-08-25 11:40:00,276676.75,13430.14,47384.39,310631.0,COMPLETED
213,4,618,29,INV-000213,2026-06-27 13:23:00,76075.88,523.26,13599.47,89152.09,COMPLETED
214,3,1000,18,INV-000214,2026-05-22 19:58:00,134671.19,7136.57,22956.23,150490.85,CANCELLED
215,5,873,37,INV-000215,2026-08-27 18:21:00,213221.27,15373.29,35612.65,233460.63,COMPLETED
216,4,410,26,INV-000216,2026-05-18 09:23:00,111595.41,401.98,20014.82,131208.25,COMPLETED
217,2,45,13,INV-000217,2026-04-08 12:12:00,112058.6,8050.77,18721.41,122729.24,COMPLETED
218,1,852,1,INV-000218,2026-09-21 11:24:00,43918.88,1607.81,7615.99,49927.06,COMPLETED
219,2,900,14,INV-000219,2026-04-17 10:09:00,139160.94,5505.99,24057.89,157712.84,COMPLETED
220,1,875,2,INV-000220,2026-08-16 13:50:00,13962.47,1145.35,2307.08,15124.2,COMPLETED
221,1,810,6,INV-000221,2026-09-17 18:04:00,311869.88,11484.03,54069.46,354455.31,COMPLETED
222,4,275,30,INV-000222,2026-08-27 15:40:00,302057.38,15221.73,51630.42,338466.07,COMPLETED
223,4,236,29,INV-000223,2026-08-28 09:29:00,184084.08,6411.24,31981.12,209653.96,COMPLETED
224,3,101,18,INV-000224,2026-05-01 10:23:00,24498.78,981.2,4233.16,27750.74,COMPLETED
225,3,723,18,INV-000225,2026-09-02 11:54:00,272050.7,25173.82,44437.85,291314.73,COMPLETED
226,5,740,38,INV-000226,2026-07-28 14:50:00,6572.16,338.17,1122.12,7356.11,COMPLETED
227,4,874,30,INV-000227,2026-08-21 09:23:00,97134.82,4296.63,16710.87,109549.06,COMPLETED
228,2,436,14,INV-000228,2026-09-23 15:48:00,199958.67,17452.88,32851.05,215356.84,COMPLETED
229,4,337,25,INV-000229,2026-08-24 16:40:00,209159.14,810.26,37502.8,245851.68,COMPLETED
230,2,676,13,INV-000230,2026-08-13 10:29:00,8312.81,171.4,1465.45,9606.86,COMPLETED
231,2,133,9,INV-000231,2026-08-16 15:30:00,93548.68,1458.6,16576.21,108666.29,COMPLETED
232,4,619,26,INV-000232,2026-08-26 13:37:00,24110.07,1802.18,4015.42,26323.31,COMPLETED
233,2,933,13,INV-000233,2026-08-24 16:29:00,338122.08,18125.79,57599.33,377595.62,COMPLETED
234,4,716,26,INV-000234,2026-08-24 10:25:00,68604.52,2253.87,11943.12,78293.77,COMPLETED
235,1,931,2,INV-000235,2026-08-05 15:48:00,187837.51,9143.95,32164.84,210858.4,COMPLETED
236,1,257,1,INV-000236,2026-04-30 20:58:00,44490.87,2536.9,7551.71,49505.68,COMPLETED
237,4,862,29,INV-000237,2026-05-12 11:53:00,36965.82,786.2,6512.33,42691.95,COMPLETED
238,1,694,1,INV-000238,2026-06-09 11:28:00,95087.95,6128.69,16012.67,104971.93,COMPLETED
239,3,54,22,INV-000239,2026-09-01 09:03:00,181280.69,5343.42,31668.71,207605.98,COMPLETED
240,1,742,2,INV-000240,2026-05-13 09:26:00,213894.93,11079.88,36506.72,239321.77,COMPLETED
241,2,226,14,INV-000241,2026-04-17 19:52:00,79827.19,4914.4,13484.3,88397.09,COMPLETED
242,1,647,5,INV-000242,2026-09-26 15:43:00,139360.22,14745.18,22430.71,147045.75,COMPLETED
243,5,516,34,INV-000243,2026-08-29 20:00:00,157177.61,13763.18,25814.6,169229.03,COMPLETED
244,3,304,22,INV-000244,2026-05-22 11:24:00,202732.26,19654.14,32954.06,216032.18,COMPLETED
245,1,664,6,INV-000245,2026-06-13 09:14:00,57494.55,5385.71,9379.59,61488.43,COMPLETED
246,4,67,25,INV-000246,2026-08-04 10:12:00,2480.16,279.25,396.16,2597.07,COMPLETED
247,5,242,34,INV-000247,2026-08-08 10:27:00,54143.02,2302.2,9331.35,61172.17,COMPLETED
248,4,172,30,INV-000248,2026-07-30 16:27:00,345771.43,20384.3,58569.68,383956.81,COMPLETED
249,3,291,22,INV-000249,2026-07-06 17:38:00,318295.87,11154.81,55285.39,362426.45,CANCELLED
250,3,502,22,INV-000250,2026-06-18 19:37:00,18322.11,2182.1,2905.2,19045.21,COMPLETED
251,4,790,29,INV-000251,2026-06-29 17:45:00,289284.23,23500.59,47841.05,313624.69,COMPLETED
252,5,967,38,INV-000252,2026-09-22 11:16:00,91785.26,1414.24,16266.78,106637.8,COMPLETED
253,5,531,33,INV-000253,2026-05-19 15:10:00,337290.88,26850.07,55879.34,366320.15,COMPLETED
254,4,7,29,INV-000254,2026-05-14 16:00:00,67211.84,4234.04,11336.0,74313.8,COMPLETED
255,2,191,13,INV-000255,2026-09-28 11:12:00,100635.98,3003.74,17573.8,115206.04,COMPLETED
256,2,301,9,INV-000256,2026-04-22 15:07:00,170910.87,10775.78,28824.31,188959.4,COMPLETED
257,2,385,9,INV-000257,2026-09-02 17:48:00,239469.66,18550.95,39765.37,260684.08,COMPLETED
